Zip,Latitude,Longitude
29909,32.341,-80.85373
94518,37.95041,-122.02205
95815,38.60548,-121.4473
37217,36.10517,-86.65907
40342,38.00322,-84.98494
46162,39.55081,-85.95348
49958,46.82582,-88.67424
53808,42.62614,-90.5931
56524,46.21378,-95.61021
1536,42.23236,-71.69101
4564,43.93503,-69.46469
6061,41.87547,-72.96695
10028,40.7763,-73.95372
12413,42.31255,-74.02123
12970,44.48775,-74.31608
15101,40.58048,-79.95446
23409,37.87938,-75.6436
23438,36.58144,-76.69689
24330,36.72655,-81.01998
30810,33.23621,-82.58915
62275,38.81166,-89.54475
64449,40.04259,-94.97763
68743,42.46556,-96.62619
69219,42.70609,-101.10082
86510,36.23729,-110.23069
97341,44.80892,-124.05122
92508,33.89113,-117.32676
92678,33.68469,-117.52655
96130,40.54876,-120.68496
97406,42.62136,-124.014
97819,44.48542,-117.76037
98559,46.95859,-123.32725
99743,63.7838,-150.12799
7504,40.91221,-74.1413
2056,42.11637,-71.32963
4257,44.57347,-70.51358
4576,43.82228,-69.66695
10021,40.76939,-73.95871
12043,42.70454,-74.52273
12454,42.28669,-74.15098
13409,42.97648,-75.5951
15358,40.05539,-80.00301
15551,39.88566,-79.27776
15678,40.28723,-79.72629
60304,41.87243,-87.78948
68048,40.98141,-95.9344
68402,40.90778,-96.85713
73661,35.16077,-99.01617
76472,32.60119,-98.17057
76637,31.76614,-97.81681
77075,29.6209,-95.26714
83450,43.83217,-112.41525
84117,40.66104,-111.83464
85140,33.24451,-111.54379
85928,34.53343,-110.55814
85939,34.43896,-110.08576
86332,34.32055,-112.63311
88260,32.99151,-103.39911
31012,32.39465,-83.17562
91765,33.98822,-117.81446
92625,33.60216,-117.86558
93254,34.94866,-119.77105
97322,44.62606,-123.01891
98934,46.98179,-120.41493
99556,59.86781,-151.49527
2818,41.64311,-71.49293
4101,43.66239,-70.25838
4558,43.89873,-69.51577
10119,40.75031,-73.99298
10472,40.8295,-73.8694
15430,40.04023,-79.65538
15714,40.64535,-78.82308
16132,41.00591,-80.50568
22309,38.71932,-77.10725
22738,38.28824,-78.2774
24534,36.87472,-78.76692
26588,39.57268,-80.14078
28803,35.52962,-82.52001
30215,33.38857,-84.45729
62634,40.01313,-89.45198
65649,37.61828,-93.61837
67149,37.53821,-97.62587
71018,32.82253,-93.42626
31057,32.43286,-83.93537
32202,30.32503,-81.64802
37153,35.76385,-86.55397
39170,32.11369,-90.33719
41101,38.47222,-82.64601
46507,41.72057,-85.81751
48393,42.52113,-83.54507
51639,40.71982,-95.47485
54758,44.54861,-91.21876
55354,44.88304,-94.06871
65625,36.67462,-93.8147
66417,39.65367,-96.04327
68342,40.10069,-96.94431
68661,41.49315,-97.08361
68971,40.11797,-99.24414
71016,32.23252,-93.10826
73667,36.00235,-99.02411
76255,33.82,-97.72915
46845,41.20487,-85.10807
47038,38.84824,-84.84764
48708,43.5619,-83.84505
49660,44.22586,-86.20635
56484,47.0991,-94.4677
81252,38.10886,-105.42017
85343,33.33909,-112.6891
96076,40.38277,-122.92755
98249,48.01818,-122.5391
39115,33.04489,-90.56432
2143,42.38145,-71.09684
78255,29.65429,-98.66554
15229,40.52036,-80.03704
59078,46.34172,-109.53547
61529,40.78147,-89.94202
63620,37.39458,-90.65368
64483,40.04456,-94.83982
64638,39.61963,-93.61336
65452,37.96296,-92.26775
65753,36.99876,-93.05469
73054,35.67307,-97.19165
78114,29.11822,-98.20179
78712,30.28502,-97.73477
78749,30.21378,-97.85819
80804,39.35189,-103.26141
80925,38.7507,-104.65042
82240,42.24072,-104.17919
84328,41.54584,-111.83476
84061,40.75259,-111.34282
85923,34.32497,-110.34054
88314,33.10073,-105.86726
727,18.21496,-66.07356
1876,42.61224,-71.22746
2534,41.66709,-70.61991
4424,45.67054,-67.86814
6607,41.17371,-73.16695
10016,40.74515,-73.9783
11024,40.81632,-73.74172
16746,41.79396,-78.13637
17601,40.07357,-76.31453
21841,38.24732,-75.29533
27203,35.73221,-79.7893
28352,34.76732,-79.45084
28441,34.78969,-78.4309
32502,30.4094,-87.22306
33020,26.01899,-80.1523
35674,34.65761,-87.78281
37886,35.74557,-83.80472
38501,36.2282,-85.53847
38569,36.09835,-85.85544
45005,39.53559,-84.30296
45133,39.15726,-83.57603
45853,40.98624,-84.19854
46936,40.47942,-85.93093
